name,all,cur_select_size,cur_size_ratio,effect_len,mop,i,model_name,data_name,pair_name
NAC,0.030600011348724362,3000,0.075,2552,IR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.030350029468536373,3000,0.075,2506,IR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.030550003051757806,3000,0.075,2528,IR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.030700027942657467,3000,0.075,2499,IR,0,LeNet5,mnist,mnist_LeNet5
NAC,0.032025039196014404,4000,0.1,3380,IR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.035125017166137695,4000,0.1,3345,IR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.034375011920928955,4000,0.1,3354,IR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.033600032329559326,4000,0.1,3345,IR,0,LeNet5,mnist,mnist_LeNet5
NAC,0.018375039100646973,1000,0.025,851,CR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.022475004196166992,1000,0.025,803,CR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.01864999532699585,1000,0.025,842,CR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.019175052642822262,1000,0.025,827,CR,0,LeNet5,mnist,mnist_LeNet5
NAC,0.0259750485420227,2000,0.05,1704,CR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.027525007724761963,2000,0.05,1658,CR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.02595001459121704,2000,0.05,1682,CR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.024025022983551025,2000,0.05,1661,CR,0,LeNet5,mnist,mnist_LeNet5
NAC,0.030525028705596924,3000,0.075,2551,CR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.0328250527381897,3000,0.075,2491,CR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.03057503700256348,3000,0.075,2524,CR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.029650032520294186,3000,0.075,2495,CR,0,LeNet5,mnist,mnist_LeNet5
NAC,0.033625006675720215,4000,0.1,3381,CR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.0343250036239624,4000,0.1,3332,CR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.03365004062652588,4000,0.1,3350,CR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.03450000286102295,4000,0.1,3340,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.03667497634887695,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
